ApartmentNo,Address,HWMETERNMI,HWMETERNO,NEWHWMETERNMI,LoRaWANDevEUI,Channel,Building,Level,Side,Offset_usage,Phototakendate,litter_factor
101,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V991,100001,XX100001,cacbb80330026415,0,A,level 4,A,189125,24/7/2024,10
102,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V992,100002,XX100002,cacbb80330026415,1,A,level 4,A,145876,24/7/2024,10
103,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V993,100003,XX100003,cacbb80330026415,2,A,level 4,A,111848,24/7/2024,10
104,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V994,100004,XX100004,cacbb80330026415,3,A,level 4,A,177388,24/7/2024,10
105,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V995,100005,XX100005,cacbb80330026415,4,A,level 4,A,155938,24/7/2024,10
501,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V997,100008,XX100008,40d63cfffe8511e6,0,A,level 5,A,122344,24/7/2024,10
502,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V998,100008,XX100008,40d63cfffe8511e6,0,A,level 5,A,122344,24/7/2024,10
503,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V999,100009,XX100009,40d63cfffe8511e6,1,A,level 5,A,202526,24/7/2024,10
504,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V801,100010,XX100010,40d63cfffe8511e6,2,A,level 5,A,61645,24/7/2024,10
505,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V802,100011,XX100011,40d63cfffe8511e6,3,A,level 5,A,180783,24/7/2024,10
506,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V803,100012,XX100012,40d63cfffe8511e6,4,A,level 5,A,92994,24/7/2024,10
507,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V804,100013,XX100013,40d63cfffe8511e6,5,A,level 5,B,170988,24/7/2024,10
508,"Suite 2B, 9-11 Blaxland Road, Rhodes NSW 2138",W4WR01V805,100014,XX100014,40d63cfffe8511e6,6,A,level 5,B,370483,24/7/2024,10
