ApartmentNo,Address,HWMETERNMI,HWMETERNO,NEWHWMETERNMI,LoRaWANDevEUI,Channel,Building,Level,Side,Offset_usage,Phototakendate,litter_factor
401,"8 Walker Street, Rhodes NSW 2138",W4WR01V001,9EMTA619025269,X4H3003001,78724831B70444C8,0,A,level 4,A,189125,24/7/2024,
402,"8 Walker Street, Rhodes NSW 2138",W4WR01V002,9EMTA619025272,X4H3003002,78724831B70444C8,1,A,level 4,A,145876,24/7/2024,
403,"8 Walker Street, Rhodes NSW 2138",W4WR01V003,9EMTA619025273,X4H3003003,78724831B70444C8,2,A,level 4,A,111848,24/7/2024,
404,"8 Walker Street, Rhodes NSW 2138",W4WR01V004,9EMTA619025268,X4H3003004,78724831B70444C8,3,A,level 4,A,177388,24/7/2024,
405,"8 Walker Street, Rhodes NSW 2138",W4WR01V005,9EMTA619025271,X4H3003005,78724831B70444C8,4,A,level 4,A,155938,24/7/2024,
406,"8 Walker Street, Rhodes NSW 2138",W4WR01V006,9EMTA619010313,X4H3003006,78724831B70444D8,0,A,level 4,B,63480,24/7/2024,
407,"8 Walker Street, Rhodes NSW 2138",W4WR01V007,9EMTA619010318,X4H3003007,78724831B70444D8,1,A,level 4,B,145344,24/7/2024,
501,"8 Walker Street, Rhodes NSW 2138",W4WR01V008,9EMTA619025266,X4H3003008,78724831B70446B0,0,A,level 5,A,122344,24/7/2024,
502,"8 Walker Street, Rhodes NSW 2138",W4WR01V009,9EMTA619025267,X4H3003009,78724831B70446B0,1,A,level 5,A,202526,24/7/2024,
503,"8 Walker Street, Rhodes NSW 2138",W4WR01V010,9EMTA619025274,X4H3003010,78724831B70446B0,2,A,level 5,A,61645,24/7/2024,
504,"8 Walker Street, Rhodes NSW 2138",W4WR01V011,9EMTA619025270,X4H3003011,78724831B70446B0,3,A,level 5,A,180783,24/7/2024,
505,"8 Walker Street, Rhodes NSW 2138",W4WR01V012,9EMTA619025275,X4H3003012,78724831B70446B0,4,A,level 5,A,92994,24/7/2024,
506,"8 Walker Street, Rhodes NSW 2138",W4WR01V013,9EMTA619010316,X4H3003013,7872F0F5BDC18F88,0,A,level 5,B,170988,24/7/2024,
507,"8 Walker Street, Rhodes NSW 2138",W4WR01V014,9EMTA619010314,X4H3003014,7872F0F5BDC18F88,1,A,level 5,B,370483,24/7/2024,
601,"8 Walker Street, Rhodes NSW 2138",W4WR01V015,9EMTA619025308,X4H3003015,78724831B7044500,0,A,level 6,A,99912,24/7/2024,
602,"8 Walker Street, Rhodes NSW 2138",W4WR01V016,9EMTA619025309,X4H3003016,78724831B7044500,1,A,level 6,A,132298,24/7/2024,
603,"8 Walker Street, Rhodes NSW 2138",W4WR01V017,9EMTA619025306,X4H3003017,78724831B7044500,2,A,level 6,A,119683,24/7/2024,
604,"8 Walker Street, Rhodes NSW 2138",W4WR01V018,9EMTA619025310,X4H3003018,78724831B7044500,3,A,level 6,A,96351,24/7/2024,
605,"8 Walker Street, Rhodes NSW 2138",W4WR01V019,9EMTA619025307,X4H3003019,78724831B7044500,4,A,level 6,A,112346,24/7/2024,
606,"8 Walker Street, Rhodes NSW 2138",W4WR01V020,9EMTA619025265,X4H3003020,78724831B7044794,0,A,level 6,B,206969,24/7/2024,
607,"8 Walker Street, Rhodes NSW 2138",W4WR01V021,9EMTA619025264,X4H3003021,78724831B7044794,1,A,level 6,B,101574,24/7/2024,
701,"8 Walker Street, Rhodes NSW 2138",W4WR01V022,9EMTA619025256,X4H3003022,78724831B7044680,0,A,level 7,A,174543,24/7/2024,
702,"8 Walker Street, Rhodes NSW 2138",W4WR01V023,9EMTA619025258,X4H3003023,78724831B7044680,1,A,level 7,A,206070,24/7/2024,
703,"8 Walker Street, Rhodes NSW 2138",W4WR01V024,9EMTA619025260,X4H3003024,78724831B7044680,2,A,level 7,A,118456,24/7/2024,
704,"8 Walker Street, Rhodes NSW 2138",W4WR01V025,9EMTA619025259,X4H3003025,78724831B7044680,3,A,level 7,A,271339,24/7/2024,
705,"8 Walker Street, Rhodes NSW 2138",W4WR01V026,9EMTA619025257,X4H3003026,78724831B7044680,4,A,level 7,A,152199,24/7/2024,
706,"8 Walker Street, Rhodes NSW 2138",W4WR01V027,9EMTA619025261,X4H3003027,78724831B70446C4,0,A,level 7,B,112451,24/7/2024,
707,"8 Walker Street, Rhodes NSW 2138",W4WR01V028,9EMTA619025263,X4H3003028,78724831B70446C4,1,A,level 7,B,190910,24/7/2024,
801,"8 Walker Street, Rhodes NSW 2138",W4WR01V029,9EMTA619010312,X4H3003029,78724831B7044690,0,A,level 8,A,71390,24/7/2024,
802,"8 Walker Street, Rhodes NSW 2138",W4WR01V030,9EMTA619010311,X4H3003030,78724831B7044690,1,A,level 8,A,119533,24/7/2024,
803,"8 Walker Street, Rhodes NSW 2138",W4WR01V031,9EMTA619010320,X4H3003031,78724831B7044690,2,A,level 8,A,87325,24/7/2024,
804,"8 Walker Street, Rhodes NSW 2138",W4WR01V032,9EMTA619010319,X4H3003032,78724831B7044690,3,A,level 8,A,89813,24/7/2024,
805,"8 Walker Street, Rhodes NSW 2138",W4WR01V033,9EMTA619010315,X4H3003033,78724831B7044690,4,A,level 8,A,173568,24/7/2024,
806,"8 Walker Street, Rhodes NSW 2138",W4WR01V034,9EMTA619025315,X4H3003034,78724831B704477C,0,A,level 8,B,239626,24/7/2024,
807,"8 Walker Street, Rhodes NSW 2138",W4WR01V035,9EMTA619025313,X4H3003035,78724831B704477C,1,A,level 8,B,216514,24/7/2024,
808,"8 Walker Street, Rhodes NSW 2138",W4WR01V036,9EMTA619025314,X4H3003036,78724831B704477C,2,A,level 8,B,225319,24/7/2024,
809,"8 Walker Street, Rhodes NSW 2138",W4WR01V037,9EMTA619025311,X4H3003037,78724831B704477C,3,A,level 8,B,91926,24/7/2024,
810,"8 Walker Street, Rhodes NSW 2138",W4WR01V038,9EMTA619025312,X4H3003038,78724831B704477C,4,A,level 8,B,154248,24/7/2024,
901,"8 Walker Street, Rhodes NSW 2138",W4WR01V039,9EMTA619025347,X4H3003039,7872F0F5BDC18DD4,0,A,level 9,A,111609,22/7/2024,
902,"8 Walker Street, Rhodes NSW 2138",W4WR01V040,9EMTA619025421,X4H3003040,7872F0F5BDC18DD4,1,A,level 9,A,86370,22/7/2024,
903,"8 Walker Street, Rhodes NSW 2138",W4WR01V041,9EMTA619025348,X4H3003041,7872F0F5BDC18DD4,2,A,level 9,A,168617,22/7/2024,
904,"8 Walker Street, Rhodes NSW 2138",W4WR01V042,9EMTA619025349,X4H3003042,7872F0F5BDC18DD4,3,A,level 9,A,186017,22/7/2024,
905,"8 Walker Street, Rhodes NSW 2138",W4WR01V043,9EMTA619025466,X4H3003043,7872F0F5BDC18DD4,4,A,level 9,A,57645,22/7/2024,
906,"8 Walker Street, Rhodes NSW 2138",W4WR01V044,9EMTA619025325,X4H3003044,78724831B7044630,0,A,level 9,B,16689,24/7/2024,
907,"8 Walker Street, Rhodes NSW 2138",W4WR01V045,9EMTA619025323,X4H3003045,78724831B7044630,1,A,level 9,B,215116,24/7/2024,
908,"8 Walker Street, Rhodes NSW 2138",W4WR01V046,9EMTA619025363,X4H3003046,78724831B7044630,2,A,level 9,B,143222,24/7/2024,
909,"8 Walker Street, Rhodes NSW 2138",W4WR01V047,9EMTA619025319,X4H3003047,78724831B7044630,3,A,level 9,B,84511,24/7/2024,
910,"8 Walker Street, Rhodes NSW 2138",W4WR01V048,9EMTA619025364,X4H3003048,78724831B7044630,4,A,level 9,B,80546,24/7/2024,
1001,"8 Walker Street, Rhodes NSW 2138",W4WR01V049,9EMTA619025426,X4H3003049,78724831B7044770,0,A,level 10,A,65272,24/7/2024,
1002,"8 Walker Street, Rhodes NSW 2138",W4WR01V050,9EMTA619025427,X4H3003050,78724831B7044770,1,A,level 10,A,9890658,24/7/2024,
1003,"8 Walker Street, Rhodes NSW 2138",W4WR01V051,9EMTA619025423,X4H3003051,78724831B7044770,2,A,level 10,A,132262,24/7/2024,
1004,"8 Walker Street, Rhodes NSW 2138",W4WR01V052,9EMTA619025417,X4H3003052,78724831B7044770,3,A,level 10,A,264777,24/7/2024,
1005,"8 Walker Street, Rhodes NSW 2138",W4WR01V053,9EMTA619025321,X4H3003053,78724831B7044770,4,A,level 10,A,76024,24/7/2024,
1006,"8 Walker Street, Rhodes NSW 2138",W4WR01V054,9EMTA619025429,X4H3003054,7872F0F5BDC19130,0,A,level 10,B,122550,24/7/2024,
1007,"8 Walker Street, Rhodes NSW 2138",W4WR01V055,9EMTA619025297,X4H3003055,7872F0F5BDC19130,1,A,level 10,B,240847,24/7/2024,
1008,"8 Walker Street, Rhodes NSW 2138",W4WR01V056,9EMTA619025431,X4H3003056,7872F0F5BDC19130,2,A,level 10,B,291227,24/7/2024,
1009,"8 Walker Street, Rhodes NSW 2138",W4WR01V057,9EMTA619025433,X4H3003057,7872F0F5BDC19130,3,A,level 10,B,235159,24/7/2024,
