ApartmentNo,Address,HWMETERNMI,HWMETERNO,NEWHWMETERNMI,LoRaWANDevEUI,Channel,Building,Level,Side,Offset_usage,Phototakendate,litter_factor
101,"233-255 Botany Road, Waterloo",ZZZZ048298-W,74100693,74100693,22323300008888C1,0,Z,Level 2 Electrical Riser,Z,190.55,45962,10
102,"233-255 Botany Road, Waterloo",ZZZZ048299-W,74100582,74100582,22323300008888C1,1,Z,Level 2 Electrical Riser,Z,264.58,45962,10
103,"233-255 Botany Road, Waterloo",ZZZZ048300-W,74100583,74100583,22323300008888C1,2,Z,Level 2 Electrical Riser,Z,204.54,45962,10
104,"233-255 Botany Road, Waterloo",ZZZZ048301-W,74100588,74100588,22323300008888C1,3,Z,Level 2 Electrical Riser,Z,254.29,45962,10
105,"233-255 Botany Road, Waterloo",ZZZZ048302-W,74100585,74100585,22323300008888C1,4,Z,Level 2 Electrical Riser,Z,217.62,45962,10
106,"233-255 Botany Road, Waterloo",ZZZZ048303-W,74100589,74100589,22323300008888C1,5,Z,Level 2 Electrical Riser,Z,215.63,45962,10
107,"233-255 Botany Road, Waterloo",ZZZZ048304-W,74100587,74100587,22323300008888C1,6,Z,Level 2 Electrical Riser,Z,204.31,45962,10
108,"233-255 Botany Road, Waterloo",ZZZZ048305-W,74100581,74100581,22323300008888C1,7,Z,Level 2 Electrical Riser,Z,260.03,45962,10
109,"233-255 Botany Road, Waterloo",ZZZZ048306-W,74100584,74100584,78724831B7044718,0,Z,Level 2 Electrical Riser,Z,253.593,45962,10
201,"233-255 Botany Road, Waterloo",ZZZZ048307-W,74100590,74100590,78724831B7044718,1,Z,Level 2 Electrical Riser,Z,124.982,45962,10
202,"233-255 Botany Road, Waterloo",ZZZZ048308-W,74100586,74100586,78724831B7044718,2,Z,Level 2 Electrical Riser,Z,318.109,45962,10
301,"233-255 Botany Road, Waterloo",ZZZZ048309-W,74100657,74100657,78724831B7044718,3,Z,Level 2 Electrical Riser,Z,121.384,45962,10
302,"233-255 Botany Road, Waterloo",ZZZZ048310-W,74100660,74100660,78724831B7044718,4,Z,Level 2 Electrical Riser,Z,235.251,45962,10
303,"233-255 Botany Road, Waterloo",ZZZZ048311-W,74100656,74100656,78724831B7044718,5,Z,Level 2 Electrical Riser,Z,201.401,45962,10
304,"233-255 Botany Road, Waterloo",ZZZZ048312-W,74100659,74100659,22323300008888C2,0,Z,Level 4 electrical Riser,Z,245.87,45962,10
305,"233-255 Botany Road, Waterloo",ZZZZ048313-W,74100658,74100658,22323300008888C2,1,Z,Level 4 electrical Riser,Z,249.11,45962,10
306,"233-255 Botany Road, Waterloo",ZZZZ048314-W,74100653,74100653,22323300008888C2,2,Z,Level 4 electrical Riser,Z,146.23,45962,10
307,"233-255 Botany Road, Waterloo",ZZZZ048315-W,74100652,74100652,22323300008888C2,3,Z,Level 4 electrical Riser,Z,261.26,45962,10
308,"233-255 Botany Road, Waterloo",ZZZZ048316-W,74100654,74100654,22323300008888C2,4,Z,Level 4 electrical Riser,Z,287.33,45962,10
309,"233-255 Botany Road, Waterloo",ZZZZ048317-W,74100655,74100655,22323300008888C2,5,Z,Level 4 electrical Riser,Z,282.55,45962,10
401,"233-255 Botany Road, Waterloo",ZZZZ048318-W,74100661,74100661,22323300008888C2,6,Z,Level 4 electrical Riser,Z,160.94,45962,10
402,"233-255 Botany Road, Waterloo",ZZZZ048319-W,74100651,74100651,22323300008888C2,7,Z,Level 4 electrical Riser,Z,298.39,45962,10
501,"233-255 Botany Road, Waterloo",ZZZZ048320-W,74100670,74100670,7872F0F5BDC191A4,0,Z,Level 4 electrical Riser,Z,228.99,45962,10
502,"233-255 Botany Road, Waterloo",ZZZZ048321-W,74100663,74100663,7872F0F5BDC191A4,1,Z,Level 4 electrical Riser,Z,236.53,45962,10
503,"233-255 Botany Road, Waterloo",ZZZZ048322-W,74100662,74100662,7872F0F5BDC191A4,2,Z,Level 4 electrical Riser,Z,252.46,45962,10
504,"233-255 Botany Road, Waterloo",ZZZZ048323-W,74100664,74100664,7872F0F5BDC191A4,3,Z,Level 4 electrical Riser,Z,250.2,45962,10
505,"233-255 Botany Road, Waterloo",ZZZZ048324-W,74100667,74100667,7872F0F5BDC191A4,4,Z,Level 4 electrical Riser,Z,260.37,45962,10
506,"233-255 Botany Road, Waterloo",ZZZZ048325-W,74100668,74100668,7872F0F5BDC191A4,5,Z,Level 4 electrical Riser,Z,252.22,45962,10
507,"233-255 Botany Road, Waterloo",ZZZZ048327-W,74100669,74100669,7872F0F5BDC191A4,6,Z,Level 4 electrical Riser,Z,327.2,45962,10
